Track,Danceability,Loudness,Chords-Changes-Rate,Dynamic-Complexity,Zerocrossingrate,Chords-Number-Rate,Pitch-Salience,Spectral-Centroid,Spectral-Complexity,Spectral-Decrease,Spectral-Energyband-High,Spectral-Energyband-Low,Spectral-Energyband-Middle-High,Spectral-Energyband-Middle-Low,Spectral-Entropy,Spectral-Flux,Spectral-Rolloff,Spectral-Spread,Onset-Rate,Length,BPM,Beats-Loud,Melody,Articulation,Rhythm Complexity,Rhythm Stability,Dissonance,Atonality,Mode,dom,sub,sub-sub,sub-dom,dom-sub,dom-tonic,glob-sub,glob-dom,sub-sub-dom,sub-dom-sub,dom-sub-dom,sub-dom-tonic,dom-tonic-sub,dom-sub-sub,sub-sub-sub,glob-sub-glob,glob-dom-tonic,glob-sub-sub,dom-dom,glob-glob,dom-dom-sub,glob-glob-dom,glob-dom-glob,glob-glob-sub,dom-dom-tonic,glob-sub-dom,dom-tonic-dom,glob-dom-sub,sub-dom-dom,dom-dom-dom,glob-dom-dom,glob-glob-glob,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
800007,1.66248512268,0.969603478909,0.0540123470128,3.17154240608,0.0387636460364,0.0108024692163,0.465233504772,949.548034668,13.2163829803,-9.50318845838e-09,0.000285456480924,0.0214999709278,0.00582776404917,0.0104437377304,7.03180599213,0.091813467443,1046.92297363,3360958.0,4.2283987999,30.0133113861,152.331604004,0.0629059299827,0.6520334482192993,0.6534173488616943,0.4729386270046234,0.6998569965362549,0.4639119505882263,0.6929571628570557,0.5116140842437744,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0
100072,0.893590450287,0.515217363834,0.0648148134351,6.3219742775,0.0322869382799,0.0216049384326,0.522592246532,881.565002441,9.88562583923,-4.04904465512e-09,2.63031342911e-05,0.00290335831232,0.00214844266884,0.0111385239288,6.63892030716,0.038796197623,852.078125,2264283.25,1.56484043598,30.0133113861,117.489486694,0.0190450306982,0.6158327460289001,0.3592701256275177,0.409102588891983,0.5000185966491699,0.3724583983421325,0.6626870632171631,0.5801644921302795,0.1818181818181818,0.0909090909090909,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0
300084,1.75185191631,0.963467419147,0.112828440964,6.06052827835,0.0790014863014,0.0185471400619,0.560698390007,2101.27172852,11.6705331802,-3.22329740676e-09,0.000527757394593,0.00704951351508,0.00295649725012,0.00322996685281,7.59919548035,0.0620427690446,2400.5612793,3108439.75,5.06467580795,30.0001583099,114.670219421,0.0617630966008,0.4154894948005676,0.745439350605011,0.4962106049060821,0.7170026302337646,0.6043328046798706,0.5932075381278992,0.5720757842063904,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
700005,0.911622405052,0.785264790058,0.0463678501546,5.91435909271,0.0549888536334,0.0108191650361,0.537518382072,1309.94958496,20.0572319031,-6.13100592517e-09,0.000508402707055,0.00594715261832,0.0110678896308,0.00862201303244,7.2595949173,0.0718716531992,1478.49584961,3497046.0,3.5652654171,30.0001583099,172.265548706,0.0352608859539,0.6709464192390442,0.5122694373130798,0.4223549664020538,0.5890059471130371,0.3932799696922302,0.7034821510314941,0.5348434448242188,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0
100096,0.835423529148,0.796923696995,0.0200617276132,3.67117929459,0.0599355809391,0.0108024692163,0.515661418438,1644.00524902,15.2040185928,-3.92386922954e-09,0.00024261046201,0.00520114088431,0.00645571714267,0.00515931891277,7.17763948441,0.0559402704239,1803.92810059,2470910.5,3.42933106422,30.0133113861,133.366012573,0.0217413771898,0.6323714852333069,0.4634300470352173,0.4948281347751617,0.5853703022003174,0.4706803560256958,0.6441922783851624,0.5758920311927795,0.0,0.4285714285714285,0.1538461538461538,0.0,0.0,0.0,0.2307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.1666666666666666,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0
300076,1.1618206501,0.926446378231,0.0324574969709,3.08585762978,0.0636650025845,0.0154559509829,0.580158054829,1466.84814453,20.8607883453,-5.60130164473e-09,0.000575331388973,0.00545516377315,0.00725969718769,0.0105872936547,7.47462368011,0.089944973588,1701.22192383,3305610.5,3.36534404755,30.0001583099,127.866714478,0.0456775389612,0.481366902589798,0.6042237877845764,0.5414658784866333,0.5418598055839539,0.5998334884643555,0.5553449392318726,0.5442609786987305,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
700027,1.24736607075,0.926495313644,0.100463680923,2.85088896751,0.0517162717879,0.0154559509829,0.537994027138,1107.40637207,16.6163959503,-6.54355902796e-09,0.000913793162908,0.00979247130454,0.00505035417154,0.0113514829427,7.43671512604,0.0920671522617,1263.6965332,4472790.0,4.93139505386,30.0001583099,166.52911377,0.050321508199,0.5240102410316467,0.7080130577087402,0.5232383012771606,0.7038261890411377,0.5431591868400574,0.642281174659729,0.5742475390434265,0.4117647058823529,0.1176470588235294,0.0625,0.0625,0.0625,0.1875,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,0.0666666666666666,0.0666666666666666,0.0,0.0,0,0,0,0,0,0,0,1,0,0
100003,0.815760433674,0.488369256258,0.0540123470128,5.45139360428,0.0551727637649,0.0185185186565,0.488167017698,1424.05993652,10.9945907593,-4.14274570204e-09,9.93759604171e-05,0.00254823779687,0.0112968413159,0.00376545917243,6.57018566132,0.0385115742683,1552.64135742,2303679.0,1.43166255951,30.0133113861,155.683914185,0.0225926991552,0.7203568816184998,0.2443649023771286,0.3912553787231445,0.491422176361084,0.3432120680809021,0.6897452473640442,0.5982747673988342,0.0769230769230769,0.1538461538461538,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0
900084,1.14437270164,0.945758521557,0.0339506156743,2.53162121773,0.0738810300827,0.0123456791043,0.566145598888,1682.33227539,22.9822254181,-5.82205439414e-09,0.00173140678089,0.00373932719231,0.00906791910529,0.0111945625395,7.65556192398,0.0851390808821,2112.73168945,3921339.5,3.69568705559,30.0133113861,129.062026978,0.0338894203305,0.6609635949134827,0.6764688491821289,0.4686949253082275,0.6899096965789795,0.4910218119621277,0.6869391798973083,0.4582204818725586,0.4,0.3,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.2222222222222222,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0,0,0,0,0,0,0,0,0,1
57,1.65853118896,0.97848790884,0.0848765447736,2.9698369503,0.0466372743249,0.0169753078371,0.545615196228,1360.80358887,15.4227199554,-5.99048366468e-09,0.00040444303886,0.0106376968324,0.00540359364823,0.00830503646284,7.33543920517,0.0859969109297,1278.66113281,3026173.25,4.0952205658,30.0133113861,92.7993240356,0.0365626513958,0.6408303380012512,0.7290552854537964,0.4916044175624847,0.7122051119804382,0.5112061500549316,0.6919894218444824,0.4641986191272735,0.0588235294117647,0.2941176470588235,0.0,0.0,0.0,0.0,0.25,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
